cdscode,county,district,school,latitude,longitude,graduation_rate,low_grad_rate,still_enrolled_rate,chronicabsenteeismrate,unexcused_absences_percent,met_uccsu_grad_reqs_rate,percent__eligible_free_k12,frpm_count_k12,stu_tch_ratio,pct_experienced,cohortstudents,pct_senior_cohort,stu_adm_ratio,grade_retention_ratio,pct_bachelors_plus,stu_psv_ratio,pct_bachelors
07617210107797,Contra Costa,Liberty Union High,Heritage High,37.925177,-121.75251,97.9,0,0.3,5.6,27.1,60.3,0.14705882352941177,404.0,23.0,0.8914728682170543,612.0,0.4885408708938121,523.6,1.0850393700787402,0.5348837209302325,327.3,0.13178294573643412
07617210730457,Contra Costa,Liberty Union High,Freedom High,37.969082,-121.71575,97.9,0,0.9,10.2,49.2,50.3,0.2557131599684791,722.0,22.4,0.9302325581395349,563.0,0.48187549251379036,507.6,0.9044776119402985,0.43410852713178294,317.3,0.16279069767441862
07617210733980,Contra Costa,Liberty Union High,Liberty High,37.934897,-121.69510,94.8,0,1.9,8.6,39.8,62.0,0.18999640158330336,595.0,21.8,0.8811188811188811,580.0,0.5034184958618207,555.8,1.0100143061516451,0.46153846153846156,347.4,0.13986013986013987
07617390730549,Contra Costa,Martinez Unified,Alhambra Senior High,38.002496,-122.13371,96.9,0,1.2,3.0,35.9,56.5,0.2588134135855546,411.0,20.6,0.8676470588235294,254.0,0.4832330180567498,332.3,1.048951048951049,0.4411764705882353,264.3,0.058823529411764705
07617540730044,Contra Costa,Mt. Diablo Unified,Northgate High,37.910096,-122.00698,97.7,0,0.0,4.9,22.8,64.6,0.10962566844919786,301.0,23.5,0.8783783783783784,353.0,0.4939839572192513,763.3,0.9629629629629629,0.0,575.4,0.6216216216216216
07617540731646,Contra Costa,Mt. Diablo Unified,College Park High,37.965869,-122.07185,96.1,0,0.2,5.4,23.4,51.7,0.240750126710593,720.0,25.3,0.9101123595505618,487.0,0.4769386720729853,495.7,0.9615384615384616,0.0,394.6,0.5617977528089888
07617540731836,Contra Costa,Mt. Diablo Unified,Concord High,37.976475,-121.98860,94.4,0,0.0,9.7,30.9,45.5,0.4592973436161097,704.0,19.8,0.9178082191780822,284.0,0.5004284490145673,296.2,0.9344262295081968,0.0,291.8,0.5342465753424658
07617540734566,Contra Costa,Mt. Diablo Unified,Mt. Diablo High,37.982880,-122.03631,84.7,1,0.3,30.5,62.0,30.2,0.6754791804362195,1145.0,19.6,0.7790697674418605,301.0,0.4646397884996695,450.3,0.8360215053763441,0.0,1080.7,0.6162790697674418
07617540737809,Contra Costa,Mt. Diablo Unified,Ygnacio Valley High,37.936674,-122.02325,83.5,1,0.8,13.2,43.3,40.8,0.6113821138211382,875.0,19.9,0.8591549295774648,261.0,0.47560975609756095,627.6,0.9219858156028369,0.0,268.6,0.5211267605633803
07617880735407,Contra Costa,Pittsburg Unified,Pittsburg Senior High,38.019548,-121.88137,90.1,0,3.0,11.9,39.6,41.7,0.5488039593071212,2210.0,22.7,0.9037433155080213,841.0,0.4825405554028045,611.3,1.030267753201397,0.2727272727272727,284.1,0.20855614973262032
07617960730291,Contra Costa,West Contra Costa Unified,Middle College High,37.968886,-122.34215,100.0,0,0.0,0.0,4.5,97.1,0.36394557823129253,131.0,28.6,1.0,69.0,0.48639455782312924,294.0,0.8461538461538461,0.38461538461538464,294.0,0.3076923076923077
07617960730598,Contra Costa,West Contra Costa Unified,Hercules High,37.999740,-122.25197,95.7,0,1.9,15.2,23.7,66.3,0.2572178477690289,221.0,21.8,0.9024390243902439,211.0,0.49343832020997375,381.0,0.9030612244897959,0.24390243902439024,293.1,0.5121951219512195
07617960732164,Contra Costa,West Contra Costa Unified,De Anza High,37.967737,-122.28509,89.4,1,2.4,34.9,42.8,51.6,0.47477064220183485,707.0,18.6,0.8311688311688312,340.0,0.5122324159021406,436.0,1.0635451505016722,0.23376623376623376,384.7,0.5324675324675324
07617960732941,Contra Costa,West Contra Costa Unified,El Cerrito High,37.906601,-122.29484,89.6,1,2.0,24.9,36.0,65.8,0.30636942675159234,523.0,22.3,0.7654320987654321,395.0,0.5140127388535032,320.4,1.00253807106599,0.2222222222222222,280.4,0.5185185185185185
07617960733659,Contra Costa,West Contra Costa Unified,John F. Kennedy High,37.925364,-122.32931,76.9,1,3.6,51.4,65.6,27.7,0.5764563106796117,495.0,17.2,0.7592592592592593,225.0,0.4575242718446602,274.7,0.867579908675799,0.24074074074074073,274.7,0.5740740740740741
07617960735316,Contra Costa,West Contra Costa Unified,Pinole Valley High,37.990205,-122.28511,85.2,1,10.8,28.9,37.6,50.0,0.4012158054711246,595.0,21.7,0.8428571428571429,277.0,0.4749240121580547,438.7,0.822289156626506,0.3142857142857143,365.6,0.4714285714285714
07617960735902,Contra Costa,West Contra Costa Unified,Richmond High,37.951989,-122.34739,83.9,1,4.0,21.9,44.3,41.9,0.5468540829986613,898.0,19.9,0.7441860465116279,347.0,0.4933065595716198,311.3,1.0374331550802138,0.12790697674418605,257.6,0.6627906976744186
07618040113118,Contra Costa,San Ramon Valley Unified,Dougherty Valley High,37.767646,-121.90229,97.5,0,0.1,2.4,32.9,78.0,0.059880239520958084,204.0,24.4,0.9337349397590361,807.0,0.49610778443113773,668.0,0.9637850467289719,0.3132530120481928,228.8,0.060240963855421686
07618040730051,Contra Costa,San Ramon Valley Unified,California High,37.747296,-121.94758,95.8,0,0.0,3.1,39.3,70.2,0.059346126510305616,172.0,24.0,0.8455882352941176,753.0,0.503909026297086,562.8,1.0309278350515463,0.3897058823529412,230.7,0.058823529411764705
07618040734368,Contra Costa,San Ramon Valley Unified,Monte Vista High,37.844787,-121.98231,97.8,0,0.3,2.3,31.6,76.1,0.0316702819956616,73.0,22.7,0.9296875,602.0,0.5123644251626898,576.3,1.1042830540037243,0.359375,177.3,0.0625
07618040736504,Contra Costa,San Ramon Valley Unified,San Ramon Valley High,37.826715,-122.00532,97.4,0,0.4,3.9,32.4,74.5,0.04405286343612335,91.0,22.3,0.8596491228070176,504.0,0.5110132158590308,510.8,1.243010752688172,0.43859649122807015,190.9,0.06140350877192982
08618200833004,Del Norte,Del Norte County Unified,Del Norte High,41.767313,-124.20913,90.0,0,0.0,66.1,51.0,25.5,0.555337904015671,606.0,23.1,0.7636363636363637,170.0,0.43290891283055827,340.3,0.7323943661971831,0.03636363636363636,189.1,0.6
09618530930081,El Dorado,El Dorado Union High,Oak Ridge High,38.681693,-121.07067,97.2,0,1.3,5.3,13.1,63.7,0.06858494284588096,174.0,22.0,0.894522892597347,604.0,0.48916042569964524,414.0,0.9655712050078247,0.26413324544947525,274.7,0.16666666666666666
